changeType,show,season,episode,title,field,old,new,traktSlug
traktIds_changed,Conviction,1,8,Downhill,traktIds,,"{'imdb': '', 'plex': {'guid': '5d9c13de7d06d9001fffd67d'}, 'tmdb': 182411, 'tvdb': 306488, 'trakt': 194240}",conviction
overview_changed,Conviction,1,8,Downhill,overview,,"ADA Jessica Rossi (Milena Govich) is close to getting a conviction on a rape case until Bureau Chief Alexandra Cabot (Stephanie March) steals away her defendant for her own insurance fraud prosecution; while ADA Billy Desmond (J. August Richards) decides to network with an exclusive group of upwardly mobile black men, but the high powered connections come with a price, and his colleague Christina Finn (Julianne Nicholson) gets caught in a landlord/tenant lawsuit.",conviction
traktFirstAired_changed,Conviction,1,8,Downhill,traktFirstAired,,2006-04-15T02:00:00.000Z,conviction
title_changed,Conviction,1,9,The Wall,title,,The Wall,conviction
traktSlug_changed,Conviction,1,9,The Wall,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,9,The Wall,traktIds,,"{'imdb': '', 'plex': {'guid': '5d9c13de1cae62001f777c80'}, 'tmdb': 182419, 'tvdb': 306489, 'trakt': 194241}",conviction
overview_changed,Conviction,1,9,The Wall,overview,,"ADA Brian Peluso (Eric Balfour) faces a ""wall of blue"" when prosecuting a cop-shooter; Christina Finn (Julianne Nicholson) and her colleague ADA Nick Potter (Jordan Bridges) have been summoned to Bureau Chief Alexandra Cabot's (Stephanie March) office where she sends them to acting class to improve their court appearance, and ADA Jessica Rossi (Milena Govich) has to contend with her dysfunctional family.",conviction
traktFirstAired_changed,Conviction,1,9,The Wall,traktFirstAired,,2006-04-29T02:00:00.000Z,conviction
title_changed,Conviction,1,10,Deliverance,title,,Deliverance,conviction
traktSlug_changed,Conviction,1,10,Deliverance,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,10,Deliverance,traktIds,,"{'imdb': '', 'plex': {'guid': '5d9c13de7b5c2e001e6d79b2'}, 'tmdb': 182425, 'tvdb': 306490, 'trakt': 194242}",conviction
overview_changed,Conviction,1,10,Deliverance,overview,,Steele has to go head-to-head with a respected female attorney who defends herself after she is accused of killing her husband.,conviction
traktFirstAired_changed,Conviction,1,10,Deliverance,traktFirstAired,,2006-05-06T02:00:00.000Z,conviction
title_changed,Conviction,1,11,Indiscretion,title,,Indiscretion,conviction
traktSlug_changed,Conviction,1,11,Indiscretion,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,11,Indiscretion,traktIds,,"{'imdb': '', 'plex': {'guid': None}, 'tmdb': 182409, 'tvdb': 306491, 'trakt': 194243}",conviction
overview_changed,Conviction,1,11,Indiscretion,overview,,"Steele tries to prosescute a rape case, but the victim's father stands in his way. Potter ends up bungling an easy drug case he took from Rossi. Desmond's case involves an Upper West Side couple and a fortune teller. Finn and Peluso have what they call an """"almost"""" date.",conviction
traktFirstAired_changed,Conviction,1,11,Indiscretion,traktFirstAired,,2006-05-13T02:00:00.000Z,conviction
title_changed,Conviction,1,12,180.80 (1),title,,180.80 (1),conviction
traktSlug_changed,Conviction,1,12,180.80 (1),traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,12,180.80 (1),traktIds,,"{'imdb': '', 'plex': {'guid': None}, 'tmdb': 182408, 'tvdb': 306492, 'trakt': 194244}",conviction
overview_changed,Conviction,1,12,180.80 (1),overview,,"A young woman is discovered murdered shortly after she was seen leaving a local bar. Soon, the bar's bouncer is accused of her death. After a shootout at the courthouse, members of the A.D.A's office are involved in a dangerous hostage situation.",conviction
traktFirstAired_changed,Conviction,1,12,180.80 (1),traktFirstAired,,2006-05-20T02:00:00.000Z,conviction
title_changed,Conviction,1,13,Hostage (2),title,,Hostage (2),conviction
traktSlug_changed,Conviction,1,13,Hostage (2),traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,13,Hostage (2),traktIds,,"{'imdb': '', 'plex': {'guid': None}, 'tmdb': 182410, 'tvdb': 306493, 'trakt': 194245}",conviction
overview_changed,Conviction,1,13,Hostage (2),overview,,The two murder suspects violently take control over the courthouse and end up taking several members of the DA's office hostage while trying to negotiate their escape with the police.,conviction
traktFirstAired_changed,Conviction,1,13,Hostage (2),traktFirstAired,,2006-05-20T02:00:00.000Z,conviction
missing_episode_added,Criminal Intent,0,1,Special: CI Presents,row,,Criminal Intent|0|1|trakt-1797,law-order-criminal-intent
missing_episode_added,Criminal Intent,0,2,Great Barrier (alternate ending),row,,Criminal Intent|0|2|trakt-1798,law-order-criminal-intent
title_changed,Criminal Intent,1,1,One,title,,One,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,1,One,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,1,One,traktIds,,"{'imdb': 'tt0629557', 'plex': {'guid': '5d9c12deba6eb9001fc1aad7'}, 'tmdb': 332921, 'tvdb': 47542, 'trakt': 341212}",law-order-criminal-intent
overview_changed,Criminal Intent,1,1,One,overview,,"Goren and Eames are called in when a jewelry heist leaves behind three bodies. After ruling out mafia involvement, they realise that the thefts are directly connected to recent credit card thefts and stolen identities. They're led to an extremely charismatic thief, and their only hope is convincing one of his partners to turn on him.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,1,One,traktFirstAired,,2001-10-01T01:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,2,Art,title,,Art,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,2,Art,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,2,Art,traktIds,,"{'imdb': 'tt0629506', 'plex': {'guid': '5d9c12dee98e47001eb88e81'}, 'tmdb': 332922, 'tvdb': 47543, 'trakt': 341213}",law-order-criminal-intent
overview_changed,Criminal Intent,1,2,Art,overview,,"When a museum curator and an art authenticator are found dead in what was set up to look like a murder-suicide, Goren and Eames follow the clues and realise that the deaths are linked to the sale of numerous art forgeries. Their investigation hits a dead end when they're unable to locate the forger until Goren seeks the help of another forger.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,2,Art,traktFirstAired,,2001-10-08T01:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,3,Smothered,title,,Smothered,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,3,Smothered,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,3,Smothered,traktIds,,"{'imdb': 'tt0629577', 'plex': {'guid': '5d9c12ded4f2a9001f827898'}, 'tmdb': 332923, 'tvdb': 47544, 'trakt': 341214}",law-order-criminal-intent
overview_changed,Criminal Intent,1,3,Smothered,overview,,"After the body of Lois Romney is found in a hotel room, Goren and Eames link her to Dale Van Acker, a junkie and the son of wealthy scion Priscilla Van Acker. Van Acker strongly disapproved of her son's pregnant fiancée, which leads Goren and Eames to suspect she may have wanted to get rid of the girl on a permanent basis.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,3,Smothered,traktFirstAired,,2001-10-15T01:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,4,The Faithful,title,,The Faithful,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,4,The Faithful,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,4,The Faithful,traktIds,,"{'imdb': 'tt0629583', 'plex': {'guid': '5d9c12deba6eb9001fc1aadd'}, 'tmdb': 332927, 'tvdb': 47545, 'trakt': 341215}",law-order-criminal-intent
overview_changed,Criminal Intent,1,4,The Faithful,overview,,"Goren and Eames investigate the death of church sexton Morris Abernathy but soon find their chief suspect, Kevin Donovan, dead in his apartment. After realising that someone performed last rites over Donovan's body, the police realise that a priest was involved in the murder, and are led to a priest who has been desperately trying to keep a twenty-year-old secret hidden. Goren risks the prosecution's case by protecting an innocent third party who could lose everything if their own secret comes out.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,4,The Faithful,traktFirstAired,,2001-10-18T01:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,5,Jones,title,,Jones,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,5,Jones,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,5,Jones,traktIds,,"{'imdb': 'tt0629547', 'plex': {'guid': '5d9c12deba6eb9001fc1aae0'}, 'tmdb': 332925, 'tvdb': 47546, 'trakt': 341216}",law-order-criminal-intent
overview_changed,Criminal Intent,1,5,Jones,overview,,"The detectives become suspicious when an abusive lawyer's girlfriends keep turning up dead, but his wife stonewalls the investigation.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,5,Jones,traktFirstAired,,2001-10-22T01:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,6,The Extra Man,title,,The Extra Man,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,6,The Extra Man,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,6,The Extra Man,traktIds,,"{'imdb': 'tt0629582', 'plex': {'guid': '5d9c12de3c3f87001f3c503e'}, 'tmdb': 332924, 'tvdb': 47547, 'trakt': 341217}",law-order-criminal-intent
overview_changed,Criminal Intent,1,6,The Extra Man,overview,,"When a European con man is found beaten to death, the detectives look for the investors he swindled, learning quickly that the man also had relations with their wives.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,6,The Extra Man,traktFirstAired,,2001-10-29T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,7,Poison,title,,Poison,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,7,Poison,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,7,Poison,traktIds,,"{'imdb': 'tt0629560', 'plex': {'guid': '5d9c12de3c3f87001f3c5044'}, 'tmdb': 332926, 'tvdb': 47548, 'trakt': 341218}",law-order-criminal-intent
overview_changed,Criminal Intent,1,7,Poison,overview,,"The detectives investigate a murderer who poisons hospital victims with cyanide. They suspect a nurse whose profile is typical, but when they discover more murders away from the hospital they have to widen their search.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,7,Poison,traktFirstAired,,2001-11-12T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,8,The Pardoner's Tale,title,,The Pardoner's Tale,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,8,The Pardoner's Tale,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,8,The Pardoner's Tale,traktIds,,"{'imdb': 'tt0629588', 'plex': {'guid': '5d9c12de3c3f87001f3c5032'}, 'tmdb': 332932, 'tvdb': 47549, 'trakt': 341219}",law-order-criminal-intent
overview_changed,Criminal Intent,1,8,The Pardoner's Tale,overview,,"The deaths of a reporter and his fiancée, gunned down on orders, leads the detectives to investigate political bribery involving the governor's office, which Deakins isn't pleased with.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,8,The Pardoner's Tale,traktFirstAired,,2001-11-19T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,9,The Good Doctor,title,,The Good Doctor,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,9,The Good Doctor,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,9,The Good Doctor,traktIds,,"{'imdb': 'tt0629586', 'plex': {'guid': '5d9c12de3c3f87001f3c5047'}, 'tmdb': 332930, 'tvdb': 47550, 'trakt': 341220}",law-order-criminal-intent
overview_changed,Criminal Intent,1,9,The Good Doctor,overview,,"A plastic surgeon reports his drug-abusing wife missing, and ends up being the prime suspect after detectives learn he had good reason to want her out of his life.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,9,The Good Doctor,traktFirstAired,,2001-11-26T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,10,Enemy Within,title,,Enemy Within,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,10,Enemy Within,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,10,Enemy Within,traktIds,,"{'imdb': 'tt0629528', 'plex': {'guid': '5d9c12de3c3f87001f3c504a'}, 'tmdb': 332928, 'tvdb': 47551, 'trakt': 341221}",law-order-criminal-intent
overview_changed,Criminal Intent,1,10,Enemy Within,overview,,The death of an eccentric banker in his nintieth floor apartment leads the detectives to investigate his professional contacts and family members.,law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,10,Enemy Within,traktFirstAired,,2001-12-10T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,11,The Third Horseman,title,,The Third Horseman,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,11,The Third Horseman,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,11,The Third Horseman,traktIds,,"{'imdb': 'tt0629592', 'plex': {'guid': '5d9c12de3c3f87001f3c5038'}, 'tmdb': 332931, 'tvdb': 47552, 'trakt': 341222}",law-order-criminal-intent
overview_changed,Criminal Intent,1,11,The Third Horseman,overview,,The killing of an abortion doctor who was shot in his own apartment sends the detectives on a search for the sniper before someone else becomes the next victim. Carver worries that the case will end up being all about abortion rights.,law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,11,The Third Horseman,traktFirstAired,,2002-01-07T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,12,Crazy,title,,Crazy,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,12,Crazy,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,12,Crazy,traktIds,,"{'imdb': 'tt0629521', 'plex': {'guid': '5d9c12de3c3f87001f3c5041'}, 'tmdb': 332929, 'tvdb': 47553, 'trakt': 341223}",law-order-criminal-intent
overview_changed,Criminal Intent,1,12,Crazy,overview,,A psychiatrist who provides expert testimony at criminal trials lays down an insanity defense to hide his obsession for his younger girlfriend after revealing to her that he hired a corrupt detective to murder her brother-in-law at his son's Bar Mitzvah after alleged reports that her niece had been abused by him.,law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,12,Crazy,traktFirstAired,,2002-01-14T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,13,The Insider,title,,The Insider,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,13,The Insider,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,13,The Insider,traktIds,,"{'imdb': 'tt0629587', 'plex': {'guid': '5d9c12de3c3f87001f3c503b'}, 'tmdb': 332934, 'tvdb': 47554, 'trakt': 341224}",law-order-criminal-intent
overview_changed,Criminal Intent,1,13,The Insider,overview,,"When the father of a young woman who has been out all night clubbing is found dead in his boat house, Goren and Eames investigate the mysterious club owner only to realise that he is an undercover FBI agent and that the Bureau will not risk their undercover operation even to stop a killer.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,13,The Insider,traktFirstAired,,2002-01-28T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,14,Homo Homini Lupis,title,,Homo Homini Lupis,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,14,Homo Homini Lupis,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,14,Homo Homini Lupis,traktIds,,"{'imdb': 'tt0629541', 'plex': {'guid': '5d9c12de3c3f87001f3c5035'}, 'tmdb': 332933, 'tvdb': 47555, 'trakt': 341225}",law-order-criminal-intent
overview_changed,Criminal Intent,1,14,Homo Homini Lupis,overview,,"When an business executive's wife and two daughters are kidnapped for a loanshark because the loan hasn't been paid off, Goren and Eames are frustrated by the man's lack of cooperation, which stymies them further when the man's released daughter proves to have been sexually assaulted.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,14,Homo Homini Lupis,traktFirstAired,,2002-03-04T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,15,Semi-Professional,title,,Semi-Professional,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,15,Semi-Professional,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,15,Semi-Professional,traktIds,,"{'imdb': 'tt0629570', 'plex': {'guid': '5d9c12dee264b7001fcafa6f'}, 'tmdb': 332935, 'tvdb': 47556, 'trakt': 341226}",law-order-criminal-intent
overview_changed,Criminal Intent,1,15,Semi-Professional,overview,,"The detectives investigate the murder of a judge's clerk, with their attention initially going to the judge himself, who had been having an affair with the young woman.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,15,Semi-Professional,traktFirstAired,,2002-03-11T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,16,Phantom,title,,Phantom,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,16,Phantom,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,16,Phantom,traktIds,,"{'imdb': 'tt0629559', 'plex': {'guid': '5d9c12de3c3f87001f3c504d'}, 'tmdb': 332938, 'tvdb': 47557, 'trakt': 341227}",law-order-criminal-intent
overview_changed,Criminal Intent,1,16,Phantom,overview,,"The detectives investigate a slain bank robber and check out his sister, who is involved with a bogus United Nations economist. As the detectives close in on the suspect, Goren learns the suspect wants his children's approval and must stop him before any more murders.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,16,Phantom,traktFirstAired,,2002-03-18T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,17,Seizure,title,,Seizure,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,17,Seizure,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,17,Seizure,traktIds,,"{'imdb': 'tt0629568', 'plex': {'guid': '5d9c12dee264b7001fcafa5a'}, 'tmdb': 332937, 'tvdb': 47558, 'trakt': 341228}",law-order-criminal-intent
overview_changed,Criminal Intent,1,17,Seizure,overview,,"When the body of a bisexual young woman is found slain, Goren and Eames note the similarities between her death and a number of murders committed by a convicted serial killer, turning their attention to a human-behavior researcher.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,17,Seizure,traktFirstAired,,2002-04-01T02:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,18,Yesterday,title,,Yesterday,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,18,Yesterday,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,18,Yesterday,traktIds,,"{'imdb': 'tt0629603', 'plex': {'guid': '5d9c12de02391c001f5fbd86'}, 'tmdb': 332936, 'tvdb': 47559, 'trakt': 341229}",law-order-criminal-intent
overview_changed,Criminal Intent,1,18,Yesterday,overview,,"When the well-preserved body of a woman tortured and murdered twenty years earlier appears on the banks of the Bronx River, chemical residue on the body leads Goren and Eames to the basement of the house in which the body had originally been buried and to the junkie whose parents owned the home. When the junkie ends up murdered as well, their investigation focuses on his college classmate, a man with a history of drugging and sexually assaulting women.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,18,Yesterday,traktFirstAired,,2002-04-15T01:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,19,Maledictus,title,,Maledictus,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,19,Maledictus,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,19,Maledictus,traktIds,,"{'imdb': 'tt0629551', 'plex': {'guid': '5d9c12dee98e47001eb88e8a'}, 'tmdb': 332939, 'tvdb': 47560, 'trakt': 341230}",law-order-criminal-intent
overview_changed,Criminal Intent,1,19,Maledictus,overview,,"Goren and Eames investigate the murder of a Russian mob princess, initially believing she may have been slain in a revenge act against her father, but their attention later turns to a classmate who could be destroyed by the woman's upcoming tell-all book.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,19,Maledictus,traktFirstAired,,2002-04-22T01:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,20,Badge,title,,Badge,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,20,Badge,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,20,Badge,traktIds,,"{'imdb': 'tt0629507', 'plex': {'guid': '5d9c12dee264b7001fcafa63'}, 'tmdb': 332940, 'tvdb': 47561, 'trakt': 341231}",law-order-criminal-intent
overview_changed,Criminal Intent,1,20,Badge,overview,,"When the murder of a city auditor and his family seems too perfect, Goren and Eames turn their attention towards law enforcement personnel after learning that the auditor was investigating a number of former cops upon suspicion of double-dipping.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,20,Badge,traktFirstAired,,2002-04-29T01:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,21,Faith,title,,Faith,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,21,Faith,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,21,Faith,traktIds,,"{'imdb': 'tt0629532', 'plex': {'guid': '5d9c12dee264b7001fcafa60'}, 'tmdb': 332942, 'tvdb': 47562, 'trakt': 341232}",law-order-criminal-intent
overview_changed,Criminal Intent,1,21,Faith,overview,,"When a wealthy publisher is murdered to prevent him from exposing an elaborate confidence game that enveloped him, his company and one of his editors, Goren and Eames run their own con to extract a confession from the killer.",law-order-criminal-intent
traktFirstAired_changed,Criminal Intent,1,21,Faith,traktFirstAired,,2002-04-29T01:00:00.000Z,law-order-criminal-intent
title_changed,Criminal Intent,1,22,Tuxedo Hill,title,,Tuxedo Hill,law-order-criminal-intent
traktSlug_changed,Criminal Intent,1,22,Tuxedo Hill,traktSlug,,law-order-criminal-intent,law-order-criminal-intent
traktIds_changed,Criminal Intent,1,22,Tuxedo Hill,traktIds,,"{'imdb': 'tt0629595', 'plex': {'guid': '5d9c12dee264b7001fcafa75'}, 'tmdb': 332941, 'tvdb': 47563, 'trakt': 341233}",law-order-criminal-intent
